"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"img:Imaging:1                       ","Class","Imaging","1.0.0.0","img","The Imaging class contains classes and attributes describing both the image product itself and the imaging instrument. Image product information can include exposure duration, filters, data correction, sampling, frame, sub-frames, and how the product was derived. For the imaging instrument, information can be provided describing the dynamic physical or operating characteristics of the imaging instrument.","img","","","","","","","","","","",""
"img:Autoexposure:1                  ","Class","Autoexposure","1.0.0.0","img","The Autoexposure class contains attributes used to identify or describe the algorithm used to automatically calculate the proper exposure time. This is generally based on some kind of histogram analysis. The specific autoexposure algorithm used is defined in the processing_algorithm attribute, and the specific set of attributes needed to describe it will vary based on the algorithm. Examples of autoexposure algorithms include "Maki 2003" used on MER, MSL ECAMs, M2020 ECAMS; "Maurice 2012" used on MSL ChemCam; "Smith 1997" used on Mars Pathfinder Imager.","img","","","","","","","","","","",""
"img:Autoexposure:2                   img:auto_exposure_data_cut:1        ","Attribute","auto_exposure_data_cut","n/a","img","The auto_exposure_data_cut attribute specifies the DN value which a specified fraction of pixels is permitted to exceed. The fraction is specified using the auto_exposure_data_fraction attribute.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_percent:1         ","Attribute","auto_exposure_percent","n/a","img","The auto_exposure_percent attribute specifies the auto-exposure early-termination percent. If the desired DN (auto_exposure_data_cut) is within this percentage of the measured DN (the DN at which the percentage of pixels above that DN equals or exceeds the auto_exposure_pixel_fraction), then the auto exposure algorithm is terminated and the calculated time is accepted.","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"img:Autoexposure:2                   img:auto_exposure_pixel_fraction:1  ","Attribute","auto_exposure_pixel_fraction","n/a","img","The auto_exposure_pixel_fraction attribute specifies the percentage of pixels whose DN values may exceed the auto_expsoure_data_cut.","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"img:Autoexposure:2                   img:auto_exposure_lower_threshold:1 ","Attribute","auto_exposure_lower_threshold","n/a","img","Specifies the lower threshold DN value for which a specified number of pixels is permitted to exceed. The auto_exposure_lower_limit defines the number of pixels allowed to exceed this threshold.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_lower_limit:1     ","Attribute","auto_exposure_lower_limit","n/a","img","Specifies the maximum number of pixels that are allowed to be below the lower threshold defined by auto_exposure_lower_limit.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_upper_threshold:1 ","Attribute","auto_exposure_upper_threshold","n/a","img","Specifies the upper threshold DN value for which a specified number of pixels is permitted to exceed. The auto_exposure_upper_limit defines the number of pixels allowed to exceed this threshold.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_upper_limit:1     ","Attribute","auto_exposure_upper_limit","n/a","img","Specifies the maximum number of pixels that are allowed to be above the upper threshold defined by auto_exposure_upper_limit.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_roi_lines:1       ","Attribute","auto_exposure_roi_lines","n/a","img","Specifies the number of lines in the autoexposure region of interest.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_roi_samples:1     ","Attribute","auto_exposure_roi_samples","n/a","img","Specifies the number of samples in the autoexposure region of interest.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_roi_first_line:1  ","Attribute","auto_exposure_roi_first_line","n/a","img","Specifies the (1-based) starting line for the autoexposure region of interest.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:auto_exposure_roi_first_sample:1","Attribute","auto_exposure_roi_first_sample","n/a","img","Specifies the (1-based) starting sample for the autoexposure region of interest.","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:max_auto_exposure_iteration_count:1","Attribute","max_auto_exposure_iteration_count","n/a","img","The max_auto_exposure_iteration_count attribute specifies the maximum number of exposure iterations the instrument will perform in order to obtain the requested exposure.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:exposure_table:1                ","Attribute","exposure_table","n/a","img","Identifies the exposure table to be used, or that was used. The exposure table provides the seed exposure value to use for each camera for the autoexposure algorithm.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"img:Autoexposure:2                   img:exposure_table_update_flag:1    ","Attribute","exposure_table_update_flag","n/a","img","If true, specifies whether or not to update the autoexposure table based on the results of this exposure.","img","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"img:Autoexposure:2                   img:valid_minimum_pixel:1           ","Attribute","valid_minimum_pixel","n/a","img","Specifies the minimum DN threshold for pixels used by the autoexposure algorithm.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"img:Autoexposure:2                   img:valid_maximum_pixel:1           ","Attribute","valid_maximum_pixel","n/a","img","Specifies the maximum pixel DN value for pixels used by the autoexposure algorithm.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
